BusinessName,ClosingTime,Capacity,Phone,Address,Location,LocationComment
Thompson Island Outward Bound Education Center Inc,2:00 AM,263,(617)328-3900,"0 Thompson Island, Boston MA","(42.315962, -71.0089175)",Thompson Island  Boston Harbor  Boston  MA. The Waterfront Pavillion is an open-air seasonal wooden pavillion with multiple openings around the perimeter of the building leading to outdoor decks and surrounding grounds. Included in the surrounding grounds ara two temporary tent structures.
"Boston Harbor Distillery, LLC",1:00 AM,0,(617)533-7001,"Ericsson ST, Dorchester MA","(42.2916129, -71.0406856)",One room on first floor consisting of one entrance and three exits all located at 12R Ericsson Street  with Port Norfolk and Lawley Streets as crossroads. All alcohol storage is located behind the tasting area and/or displayed in the mercantile area. Monday - Wednesday Noon - 10:00 PM 
THE TENNIS AND RAQUET CLUB,2:00 AM,350,NULL,"927 Boylston ST, Boston MA","(42.348158, -71.085059)",In two rooms and kitchen on the first floor; one function room on the second floor; one function room on the third floor; two locker rooms and one lounge in basement.
"ST. BOTOLPH CLUB, INC.",1:00 AM,202,NULL,"199 Commonwealth AV, Boston MA","(42.3516079, -71.080906)",Rear emergency exits; in whole of said buiding.  CAPACITY BREAKDOWN: 1ST FL - 105; 2ND FL - 85; 3RD FL - 6; 4TH FL - 6.
ALGONQUIN CLUB OF BOSTON,1:00 AM,461,NULL,"217 Commonwealth AV, Boston MA","(42.3513434, -71.0818577)",ONE REAR ENTRANCE  PRIVATE ALLEY IN REAR; IN WHOLE OF SAID BUILDING.
HARVARD CLUB OF BOSTON,1:00 AM,1369,(617)536-1260,"374 Commonwealth Av, Boston MA","(42.3485916, -71.0891056)",Four rear entrance on Newbury Street; in whole building with 700 capacity at Harvard Hall  351 capacity at assembly   93 capacity on 2nd floor dining  114 capacity at bartlett room  95 capacity at Grill room.
TRUSTEES OF BOSTON UNIVERSITY,2:00 AM,4612,(617)353-2748,"775 Commonwealth Av, Boston MA","(42.3509178, -71.10895099999999)",In whole of said building except basement.
HARVARD CLUB OF BOSTON,1:00 AM,324,NULL,"1 Federal ST, Boston MA","(42.35622110000001, -71.0569627)",In whole of said premises at function hall club; except for small office space.
SAVIN HILL YACHT CLUB,1:00 AM,269,NULL,"400 William T Morrissey BL, Dorchester MA","(42.309645, -71.0436287)",In two rooms and kitchen on the first floor; first floor 98 persons  one function room on the second floor 171 persons. Total capacity of 269.
"UNION CLUB OF BOSTON, INC.",1:00 AM,349,NULL,"7 Park ST, Boston MA","(42.3574404, -71.062979)",Entrance on Park street at the front of bldg: 1st. Floor  2nd floor   3rd floor  4th floor  5th floor and 6th floor for stock room.
THE UNIVERSITY CLUB OF BOSTON,2:00 AM,267,NULL,"426 Stuart ST, Boston MA","(42.348479, -71.0747559)",One rear entrance; Private alley in rear; in whole of said building.CAPACITY BREAKDOWN: 72 DINGING ROOM - FIRST FLOOR  104 FUNCTION ROOM - FIRST FLOOR  49 POOL - L1 - BASEMENT & 200 LOCKER ROOM - SECOND FLOOR.
NORTHEASTERN UNIVERSITY,1:00 AM,82,NULL,"96 Fenway, Boston MA","(42.3418761, -71.0912726)",Exits in rear for stock and emergency  in seven rooms on first floor  seven rooms on second floor.
OLD COLONY YACHT CLUB,1:00 AM,354,NULL,"235 Victory RD, Dorchester MA","(42.2996999, -71.04434460000002)",In whole of said building except basement.  Capacity breakdown: 1st fl - 134  2nd fl - 220.
"TWENTY-FOUR EIGHTEEN CLUB, INC.",2:00 AM,215,NULL,"18 Washington ST, Boston MA","(42.2569345, -71.1620026)",Rear and side exits for emergency and stock; In one room on first floor; One room in basement for storage.
KNIGHTS OF COLUMBUS BUILDING ASSO.OF ROSLINDALE,2:00 AM,435,NULL,"4192 Washington ST, Roslindale MA","(42.28718420000001, -71.1269804)",In whole of said building.  Capacity breakdown: 1st fl - 276; 2nd fl - 159.
SOUTH BOSTON LITHUANIAN CITIZENS ASSOCIATION,2:00 AM,565,NULL,"368 W Broadway, South Boston MA","(42.3379255, -71.0489119)",Rear door for stock; in whole of said building.
BUNKER HILL KNIGHTS OF COLUMBUS BUILDING ASSO.,1:00 AM,376,NULL,"545 Medford ST, Charlestown MA","(42.3838791, -71.0704834)",FIRST FLOOR MAIN FUNCTION HALL WITH BATHROOMS  KITCHEN  SERVICE BAR  STORAGE AND MEMBERS BAR AREA WITH MAIN ENTRANCE IN FRONT ON MEDFORD STREET  AND SECOND ENTRANCE EXIT AT REAR OF BUILDING ADJACENT TO MEMBERS BAR AREA.  MEZZANINE LEVEL WITH OFFICES AND CONFERENCE ROOMS. CAPACITY BREAKDOWN: 376 TOTA
"TAVERN 103, LTD.",2:00 AM,824,NULL,"256 Freeport ST, Dorchester MA","(42.3034988, -71.05290839999999)",In whole of said premises; except for small office space.
TRUSTEES OF BOSTON UNIVERSITY,1:00 AM,280,NULL,"225 Bay State RD, Boston MA","(42.3509056, -71.1036254)",In whole of said of building.
ORIENT HEIGHTS YACHT CLUB,2:00 AM,200,NULL,"61 Bayswater ST, East Boston MA","(42.3839958, -71.0045992)",IN ONE ROOM AND A STORAGE ROOM ON THE FIRST FLOOR; ONE ROOM AND A STORAGE ROOM ON THE SECOND FLOOR.  Capacity breakdown: 1st fl - 110; 2nd fl - 90.
SOMERSET CLUB,1:00 AM,275,NULL,"41 Beacon ST, Boston MA","(42.3569953, -71.0665039)",Two entrances from private alleyway for receiving; In whole of said  building.
"EMERALD SOCIETY OF THE BPD, INC.",2:00 AM,99,NULL,"10 Birch St, Roslindale MA","(42.2869034, -71.1298271)",In one room on the first floor with storage in the basement.
"POLISH AMERICAN CITIZENS CLUB OF SOUTH BOSTON, INC",1:00 AM,453,NULL,"82 Boston ST, Dorchester MA","(42.326619, -71.0583091)",Bulkhead in rear for receiving in whole of said building. Maximum capacity 207 for the 1st floor and 246 for 2nd floor.
"THE TAVERN CLUB, INC.",1:00 AM,313,(617)338-9682,"4 Boylston PL, Boston MA","(42.35190799999999, -71.066169)",In whole of said building.  Capacity breakdown: 1st fl - 117; 2nd fl - 113; 3rd fl - 83.
NORTHEASTERN UNIVERSITY,1:00 AM,286,NULL,"716 Columbus AV, Roxbury MA","(42.3376775, -71.0852898)",ONE LARGE ROOM ON THE 6TH FLOOR WITH KITCHEN AND STORAGE IN THE BACK.
"WOODBINE ASSOCIATES, INC.",2:00 AM,60,NULL,"57 Blue Hill AV, Roxbury MA","(42.3232967, -71.07668129999999)",Entrance on Park St at front of bldg; Two exits on side wall one exit in rear wall; One fl bldg; lst fl; Large function hall & lounge; Two rms  with kitchen ; Cellar for storage.
"EAST BOSTON YACHT CLUB,INC.",2:00 AM,149,NULL,"0 Rice St, East Boston MA","(42.380909, -71.01201499999999)",Rear entrance; in whole of said building.  Capacity breakdown: function hall - 100 seated; member area - 49.
"PORT NORFOLK YACHT CLUB,INC.",2:00 AM,120,NULL,"179 Walnut St, Dorchester MA","(42.29154, -71.03827)",179-181 WALNUT STREET  IN WHOLE OF SAID DINING ROOM  KITCHEN ON FIRST FLOOR AND IN WHOLE OF LOCATION ON 2ND FLOOR.  AND TO INCLUDE AN OUTDOOR PATIO ON PRIVATE PROPERTY FOR 25 PATRONS.120 SEATED @ FUNCTION HALL  2'ND FLOOR 27 SEATED.
"M.W.G.W. CARVER GRAND LODGE,INC.",2:00 AM,886,NULL,"70 Talbot AV, Dorchester MA","(42.2940729, -71.083854)",In whole of said building (two floors).
CHILTON CLUB,1:00 AM,782,(617)266-4860,"150 Commonwealth Av, Boston MA","(42.3527847, -71.0766005)",In whole of said building.
"IRISH SOCIAL CLUB, INC. OF BOSTON",1:00 AM,659,NULL,"119 Park St, West Roxbury MA","(42.2844253, -71.15568999999999)",ENTRANCE ON PARK STREET AT FRONT OF BUILDING; TWO EXITS ON SIDE WALL  ONE EXIT ON REAR WALL  ONE FLOOR BUILDING; LARGE FUNCTION HALL AND LOUNGE; THREE ROOMS AND KITCHEN; CELLAR FOR STORAGE.
"GOURMET CHINA, INC.",2:00 AM,48,NULL,"23 Tyler St, Boston MA","(42.3507606, -71.0609684)",In one dining room on the first floor with kitchen and storage in the rear.
"S.BOSTON POST #6536 VETERANS-FOREIGN WARS/USA,INC.",1:00 AM,300,NULL,"5 Ellery ST, South Boston MA","(42.3303944, -71.0584356)",In whole of said building - first floor three rooms; basement for stock.  Capacity breakdown: 252 function hall  35 member area.  5 7 9 11 ELLERY STREET  SOUTH BOSTON  MA  02127
"JOHN P. MCKEON POST #146 AMVETS, INC",1:00 AM,705,NULL,"4 Hill Top ST, Dorchester MA","(42.2806548, -71.0481518)",In whole of said building.
BPD POST #1018 VETERANS-FOREIGN WARS/USA,2:00 AM,181,NULL,"500 Morton ST, Dorchester MA","(42.2927996, -71.09578499999999)",IN WHOLE OF SAID BUILDING.
"MISSION HILL POST #327, AMERICAN LEGION, INC.",2:00 AM,216,NULL,"1617 Tremont ST, Roxbury MA","(42.33384340000001, -71.10309219999999)",Unnumbered side entrance on Wigglesworth Street; In whole of said building.  CAPACITY BREAKDOWN: MEMBERS' LOUNGE - 90; ASSEMBLY HALL - 126.
"BOSTON METROPOLITAN POST NO. 1 AMVETS, INC.",1:00 AM,99,NULL,"119 Belgrade AV, Roslindale MA","(42.286508, -71.135243)",BOSTON METROPOLITAN POST NO. 1 AMVETS  INC. - IN ONE ROOM FIRST FLOOR  ONE ROOM BASEMENT  STORAGE IN BASEMENT. CAPACITY BREAKDOWN: 1st FL - 70; BASEMENT - 29.
ITALIAN AMERICAN WAR VETS,1:00 AM,50,NULL,"60 Paris ST, East Boston MA","(42.3710388, -71.039423)",In whole of said building.
"BUILDING ASSOC. ST.MARKS POST #1758 V.F.W.,INC.",MIDNIGHT,228,NULL,"63 Bailey St, Dorchester MA","(42.284343, -71.065744)",69 Bailey Street with 228 capacity at assembly  164 capacity at banquet room and 102 capacity in basement and rec. room.
MARTIN F. MCDONOUGH POST NO. 368 AM LEGION,1:00 AM,96,NULL,"W Broadway, South Boston MA","(42.3401364, -71.05290269999999)",IN TWO FLOORS  ONE ROOM ON GROUND LEVEL AND ONE ROOM ON LOWER LEVEL WITH STORAGE; ENTRANCE AND EMERGENCY EXIT IN FRONT OF GROUND LEVEL.  Capacity breakdown: lower level - 35 @ bar stools  12 standing; ground fl - 8 @ bar stools  7 standing  34 @ tables and chairs.
WILLIAM E. CARTER POST #16,2:00 AM,141,NULL,"1531 Blue Hill AV, Mattapan MA","(42.2715326, -71.0940209)",REAR EXIT FACING 83 REGIS ROAD FOR EMERGENCY EXIT AND STOCK  IN WHOLE OF SAID BUILDING.  MAXIMUM CAPACITY 141. CAPACITY BREAKDOWN: 94 SEATING  39 STANDING AND 8 SEATING AT MEETING ROOM.
SOUTH BOSTON YACHT CLUB,1:00 AM,328,NULL,"1849 Columbia RD, South Boston MA","(42.3322218, -71.02688680000001)",One room first floor; Cellar for stock.  Capacity breakdown: 1st fl - 69 (sun room); 20 (bowling alley); 8 (game area); 3rd fl - scenario 1 (great hall table & chairs) - 80 max; scenario 2 (auditorium style for meetings) - 231.
THE TWELVE BENS,2:00 AM,285,NULL,"315 Adams ST, Dorchester MA","(42.2986026, -71.0575999)",In one room on first floor with kitchen  with storage in the basement.  Capacity breakdown: 1st fl - 145; 2nd fl - 140.
THE BOSTON LECO CORP.,2:00 AM,746,NULL,"71 Warrenton ST, Boston MA","(42.3498712, -71.0658936)",IN TWO ROOMS AND KITCHEN ON 1ST BASEMENT LEVEL (FORMERLY FIRST FLOOR) WITH STAGE IN ONE ROOM (GUILT NIGHTCLUB/CANDIBAR); ADDITIONAL ENTRANCE AT 275 TREMONT STREET BOSTON  MA 02116. CAPACITY FOR CANDIBAR IS 337; CAPACITY FOR GUILT NIGHTCLUB IS 409 PERSONS.
"HLC GROUP ENTERPRISES, LLC",1:00 AM,148,NULL,"131 Dartmouth St, Boston MA","(42.34704139999999, -71.0753582)",IN ONE ROOM ON FIRST FLOOR WITH KITCHEN  STORAGE AND RESTROOMS; ENTRANCE FROM DARTMOUTH STREET AND BUILDING LOBBY; ONE BACK EXIT.
"COPPERSMITH HALL, LLC",1:00 AM,360,(617)828-1760,"40 W Third St, South Boston MA","(42.34239669999999, -71.05381609999999)",APPROXIMATLEY 7 306 SQUARE FEET OF AREA ON STREET LEVEL INCLUDING A DINING AREA  BAR  OUTDOOR SEATING AREA  SHOW KITCHEN  RESTAURANT KITCHEN  FOOD PREPARATION AREA  FOOD TRUCK AREA  COOLERS  FREEZER  PATIO  STORAGE AND MENS AN WOMENS LAVATORIES ALL AS SHOWN ON THE FLOOR PLAN ATTACHED HERETO.
"THE NEXT PLACE, LLC",2:00 AM,440,NULL,"262 Friend ST, Boston MA","(42.3645443, -71.06145339999999)",In one room on the first floor; one room & kitchen on the second floor; one third floor; basement for storage  food and prep area.  Capacity breakdown: 1st fl - 150; mezzanine - 40; 2nd fl - 100; 3rd fl - 150.
"MASSACHUSETTS SPORTSERVICE, INC.",1:00 AM,19058,NULL,"100 Legends WY, Boston MA","(42.366051, -71.0609558)",Sports arena with permanent and portable stands located on levels 3-9; preferred seating on level 5; suites on level 5  6  and 9; one or more rooms  service and storage areas at west end of level 2;  restaurant at east end of levels 5 and 6 with kitchen  service and storage areas; bar at east end
"BARRYS CORNER PROPERTY, LLC",1:00 AM,0,(617)247-3434,"219 Western Av, Allston MA","(42.3638146, -71.1300342)",Tenant F Space in one room with dining area  bar  kitchen and storage; two (2) entrances/exits with direct access to street level and one (1) entrance/exit from lobby of building occupying 3 771 square feet of space.
"LAURA'S PLACE, INC.",11:00 PM,70,(617)869-1863,"Columbia Rd, Dorchester MA","(42.3203049, -71.0575448)",In one room on first floor; cellar for stock.
"SIP WINE BAR AND KITCHEN, INC.",2:00 AM,163,NULL,"571 Washington ST, Boston MA","(42.3502377, -71.1647989)",IN TWO ROOMS ON THE FIRST FLOOR WITH KITCHEN IN THE REAR AND STORAGE IN THE BASEMENT. INCLUDES A SEASONAL OUTDOOR CAFÉ FOR 72 PATRONS BETWEEN THE HOURS OF NOON - 11:00 P.M.  PREMISES EXPANDED TO INCLUDE 571 WASHINGTON STREET. CAPACITY BREAKDOWN: 111 PERSONS SEATED  52 PERSONS STANDING.
"Twelve 22, LLC",2:00 AM,181,NULL,"1222 Washington ST, Roxbury MA","(42.3427599, -71.0666997)",In two rooms on first floor with a capacity of 200 and additional seasonal seating on outdoor terrace with a capacity of 100.  Kitchen and storage in basement; main egress on Washington Street with additional egress onto terrace and in rear of premises. CAPACITY BREAKDOWN: 181 INSIDE  103 OUTSIDE.
"VAN'S RESTAURANT & BAR, INC.",1:00 AM,75,NULL,"1154 Dorchester Av, Dorchester MA","(42.3112243, -71.05732139999999)",Side entrance for stock delivery on street floor; in one room and kitchen on first floor; cellar for stock.
"RING ROAD RESTAURANT GROUP, LLC",2:00 AM,0,(617)680-7883,"780 Boylston ST, Boston MA","(42.3482461, -71.0804459)",On one (1) floor. First floor: Indoor Dining (+/-2 004 SF) including Casual Dining Area (+/- 428 SF) with seating for twenty-six (26) Formal Dining Area (+/-624 SF) with seating for forty-eight (48); Raw Bar Area (+/-312 SF) with seating for fourteen (14); Wet Bar Area (+/-366 SF) with seating for f
"SEAPORT HOSPITALITY, INC.",2:00 AM,300,NULL,"425 Summer ST, Boston MA","(42.34607889999999, -71.04299809999999)",IN ONE LARGE ROOM ON SECOND FLOOR (LOBBY) OF WESTIN HOTEL WATERFRONT; KITCHEN  STORAGE AND OFFICE ON FIRST FLOOR WITH SEASONAL OUTDOOR SEATING FOR 40 PERSONS ON PRIVATE PROPERTY.
"SPORTS CONNECTION BAR & GRILL, INC.",2:00 AM,99,NULL,"560 Dorchester AV, South Boston MA","(42.3304495, -71.05677159999999)",Unnumbered side entrance to kitchen on Leeds Street for stock; in one room and kitchen on first floor; cellar for stock.
"425 BROADWAY, LLC",2:00 AM,360,NULL,"425 W Broadway, South Boston MA","(42.3362997, -71.0476875)",IN TWO ROOMS ON GROUND FLOOR WITH OPEN KITCHEN IN REAR; MAIN ENTRANCE ON WEST BROADWAY  AND ALSO TO INCLUDE IN ONE ROOM IN BASEMENT WITH EMERGENCY EXIT AND STORAGE IN REAR.
STANJACK CORPORATION,2:00 AM,59,(617)763-9817,"645 E Second ST, South Boston MA","(42.33728259999999, -71.03746749999999)",A 59 CAPACITY TAVERN/PUB SERVING ALCOHOL AND FOOD.  900 SQUARE FEET OF RETAIL ON MAIN LEVEL WITH ADDITIONAL 800 (NOT COUNTED FOR CAPACITY) IN BASEMENT WITH WATER HEATER/FURNACE  AND USED AS OFFICE SPACE.  ONE MAIN ENTRANCE/EXIT ON E SECOND STREET  PLUS 2 ADDTIONAL EXITS-ONE BASEMENT LEVEL  ONE MAIN
"BOMBOLOTTI, INC.",1:00 AM,368,NULL,"250 Hanover St, Boston MA","(42.3635543, -71.055116)",In two rooms on first floor  with kitchen and seasonal dining terrace main entrance at 250 Hanover St.  exits into parking lot and through terrace; in two rooms on second floor  with two seasonal terraces  emergency egress off terrace; basement for storage. Capacity 178 on 1st floor and 190 on 2nd f
"METRO DINING, INC.",2:00 AM,175,NULL,"32 Harvard AV, Allston MA","(42.354864, -71.1323719)",Rear entrance and bulkhead entrance to cellar for stock. In two rooms and kitchen on first floor; cellar for stock. Includes an outdoor seasonal patio on the rear of the premises.
"BACK BAY BEATS,  LLC",2:00 AM,0,(617)909-0090,"160 Massachusetts AV, Boston MA","(42.3462238, -71.0869209)",In one (1) larger room on ground level with two (2) public entrances/egress three (3) emergency egress.  Space to include kitchen and toilet facilities/dry storage and seating.  To include outdoor seating on private property for 16 patrons and on City sidewalk for 40 patrons with a patio closing hou
"K.M.F. HOSPITALITY, INC.",2:00 AM,460,NULL,"156 Milk ST, Boston MA","(42.35865219999999, -71.0528178)",IN TWO ROOMS AND KITCHEN ON FIRST FLOOR  CELLAR FOR STOCK.  ONE ROOM ON SECOND FLOOR  IN ONE ROOM ON GROUND FLOOR WITH BASEMENT FOR STORAGE.
NORTHEASTERN UNIVERSITY,2:00 AM,254,NULL,"238 Saint Botolph St, Boston MA","(42.3415302, -71.08432979999999)",On one floor  in one room in rear of Matthew Arena; stadium level; kitchen and storage in rear.
THE GROMIT GROUP LLC,2:00 AM,330,(781)710-8405,"69 Kilmarnock ST, Boston MA","(42.3424708, -71.0994989)",Two unique dining/cocktail bar spaces with semi open kitchen in licensed space on entire first floor of 69-81 Kilmarnock Street. One dining space will be used as semi private room and when not in use will open to the main dining area to provide more seating. Seasonal outdoor patio on private setback
"GALLEON VENTURES,  INC.",1:00 AM,99,NULL,"134 Smith ST, Roxbury MA","(42.3347136, -71.1020289)",In two rooms and kitchen first floor; cellar for stock.
BRJO MANAGEMENT CORP.,2:00 AM,190,NULL,"Huntington Av, Boston MA","(42.3384957, -71.0938271)",IN ONE ROOM ON GROUND FLOOR; KITCHEN AND STORAGE IN THE REAR.
STADIUM RESTAURANT LLC,2:00 AM,509,(617)269-5100,"232 Old Colony Av, South Boston MA","(42.3322021, -71.0532589)",In two rooms and kitchen on first floor; One room and kitchen on the second floor; one room and kitchen and stock room in basement.  Capacity breakdown: 1st fl - 227; 2nd fl (nightclub configuration) - 282/ 2nd fl (tables & chairs) - 222.
"SAVIN RESTAURANT, LLC",1:00 AM,144,NULL,"112 Savin Hill Av, Dorchester MA","(42.31169089999999, -71.05354919999999)",Unnumbered side entrance on Sydney Street; In one room  on first floor; one room in basement.  CAPACITY BREAKDOWN: BASEMENT TOTAL 45 -- 4 @ STOOLS  30 @ TABLES & CHAIRS  11 STANDING; 1ST FLOOR TOTAL 99 -- 15 @ STOOLS  84 @ TABLES AND CHAIRS.
"UMNV 240A NEWBURY, LLC",1:00 AM,0,(617)331-9295,"Newbury St, Boston MA","(42.3492917, -71.0836492)",In two rooms first floor; One room and kitchen in basement  Storage area in rear of Dining Room Summer Patio Garden directly in front of 240a and 242 Newbury St.
MASSACHUSETTS CONVENTION CENTER AUTHORITY,2:00 AM,25295,(617)954-2100,"900 Boylston ST, Boston MA","(42.3481503, -71.0836739)",In whole of said building; lst  2nd  and 3rd fls; kitchens on lst & 3rd fls; two stationary concession & bar stands of lst fl; two stationary concessions & bar stands on 3rd fl; basement for stock; 2:oo A.M. Restriction.  MANAGEMENT AGREEMENT APPROVED BETWEEN MASSACHUSETTS CONVENTION CENTER AUTHORIT
"RESTAURANTE CESARIA, INC.",1:00 AM,99,NULL,"266 Bowdoin St, Dorchester MA","(42.306923, -71.06667)",IN ONE ROOM ON THE FIRST FLOOR; KITCHEN AND STORAGE IN THE REAR.
"ALLSTON RESTAURANT GROUP, LLC",2:00 AM,143,(617)964-6684,"458 Western AV, Brighton MA","(42.3619428, -71.142229)",ONE ROOM ON FIRST FLOOR  ENTRANCE AT FRONT  WITH BAR AND SEATING AT FRONT AND RESTAURANT SEATING AREA; LOWER LEVEL WITH BAR AND RESTAURANT SEATING  KITCHEN AT REAR.
"SOUTH END MOVERS, INC.",1:00 AM,38,NULL,"4272 Washington St, Roslindale MA","(42.2851037, -71.1293964)",One room and kitchen first floor  cellar for stock and office.
CM DIAMOND IMPORTERS LLC,2:00 AM,338,(978)317-5796,"1 Winter PL, Boston MA","(42.3555521, -71.06138349999999)",IN ONE (1) LARGE ROOM ON FIRST FLOOR (INCLUDING DINING AREA  TWO (2) BARS AND LOUNGE) WITH KITCHEN IN REAR; PRIVATE DINING ROOM  BAR AND LOUNGE ON GROUND FLOOR/BASEMENT WITH STORAGE IN REAR; AND PRIVATE DINING ROOM ON SECOND FLOOR.  EXIT AND ENTRANCE ON WINTER PLACE  WITH EMERGENCY EXIT TO ALLEY IN
"SHACK FOODS OF BACK BAY, LLC",1:00 AM,180,NULL,"Dalton St, Boston MA","(42.3464827, -71.08489229999999)",IN ONE ROOM ON FIRST FLOOR WITH DINING  KITCHEN SPACE AND BAR AREA; MAIN ENTRANCE/EXIT ON DALTON STREET  EXIT TO ABUTTING SPACE AND TO STREET  EXIT TO PARKING GARAGE AND EXIT THROUGH ELEVATOR LOBBY.  50B DALTON STREET  BOSTON  MA  02115
"MASSACHUSETTS SPORTSERVICE, INC.",1:00 AM,426,NULL,"100 Legends WY, Boston MA","(42.366051, -71.0609558)",(TD BANKNORTH GARDEN); One or more rooms  service and storage areas  and kitchen at west end of level three.
"325, LLC",1:00 AM,123,NULL,"81 Fairmount AV, Hyde Park MA","(42.25449690000001, -71.120203)",In one room for dining on the first floor  kitchen  small bar area and storage in the rear.  In one room for dining on the second floor  and to include an outdoor seasonal patio from April-October for 25 patrons on private property between the hours of 5:00 p.m.-11:00 p.m. With a 1:00 a.m closing ho
"THE JUNCTION TAVERN, INC.",1:00 AM,140,NULL,"110 Dorchester ST, South Boston MA","(42.3351003, -71.0459928)",Rear entrance on Silver Street for stock; in two rooms first  floor with kitchen and cellar for stock.
ATLANTIC SHORE RESTAURANT CORPORATION,2:00 AM,180,(617)230-6095,"State St, Boston MA","(42.3592486, -71.0542832)",LOUNGE WITH BAR AND SEATING  DINING ROOM AND KITCHEN  ALL LOCATED ON FIRST FLOOR WITH SEASONAL OUTDOOR DINING.
